,grid3,positionorder3,points3,fastestlap3,fastestlapspeed3,qposition3,meanlaptime3,fastlaptime3,grid1,positionorder1,points1,fastestlap1,fastestlapspeed1,qposition1,meanlaptime1,fastlaptime1,grid2,positionorder2,points2,fastestlap2,fastestlapspeed2,qposition2,meanlaptime2,fastlaptime2,championship_points
0,2.0,1.0,10.0,38.0,208.153,2.0,95911.75438596492,93600.0,4.0,13.0,0.0,23.0,216.51,4.0,97659.86206896552,88175.0,1.0,19.0,0.0,15.0,208.048,1.0,97979.03333333334,95914.0,97.0
1,4.0,2.0,8.0,35.0,207.91099999999997,4.0,95970.33333333331,93709.0,15.0,8.0,1.0,20.0,217.18,16.0,99534.71698113206,87903.0,2.0,1.0,10.0,37.0,209.158,2.0,97831.33928571428,95405.0,75.0
2,1.0,3.0,6.0,55.0,207.765,1.0,95999.43859649124,93775.0,2.0,9.0,0.0,15.0,215.1,2.0,99290.74468085106,88753.0,4.0,2.0,8.0,39.0,208.033,6.0,98180.80357142855,95921.0,75.0
3,6.0,4.0,5.0,48.0,208.231,6.0,96059.28070175438,93565.0,5.0,2.0,8.0,41.0,217.58599999999998,5.0,98208.51724137928,87739.0,5.0,6.0,3.0,55.0,209.24400000000003,7.0,98721.21428571428,95366.0,60.0
4,5.0,5.0,4.0,49.0,209.062,5.0,96381.73684210527,93193.0,3.0,5.0,4.0,43.0,218.385,3.0,98424.65517241381,87418.0,8.0,3.0,6.0,19.0,208.03099999999998,3.0,98517.94642857145,95922.0,53.0
5,7.0,6.0,3.0,45.0,206.81900000000002,7.0,96636.56140350876,94204.0,6.0,15.0,0.0,18.0,213.75799999999998,6.0,95126.7894736842,89310.0,3.0,4.0,5.0,53.0,207.715,5.0,98649.76785714287,96068.0,31.0
6,11.0,7.0,2.0,51.0,206.597,11.0,96709.52631578947,94305.0,14.0,17.0,0.0,28.285370430818944,208.47064700424767,15.0,96920.21933611033,93018.92003886358,6.0,7.0,2.0,53.0,206.36599999999999,8.0,99047.94642857145,96696.0,21.0
7,8.0,8.0,1.0,57.0,207.109,8.0,96892.26315789473,94072.0,7.0,3.0,6.0,41.0,216.71900000000002,7.0,98254.81034482758,88090.0,16.0,14.0,0.0,55.0,206.18200000000002,16.0,100385.94545454544,96782.0,17.0
8,13.0,9.0,0.0,56.0,205.503,13.0,97131.05263157896,94807.0,18.0,10.0,0.0,23.0,213.166,9.0,96895.86046511628,89558.0,10.0,21.0,0.0,30.024448557543966,170.55098992022732,10.0,170790.0,170790.0,25.0
9,10.0,10.0,0.0,35.0,204.668,10.0,97265.80701754386,95194.0,11.0,4.0,5.0,58.0,215.46400000000003,12.0,98410.29310344828,88603.0,7.0,8.0,1.0,40.0,207.24,9.0,99082.07142857145,96288.0,61.0
