,raceid3,driverId,grid3,position_3,positionorder3,points3,laps,fastestlap3,fastestlapspeed3,qposition3,lap,position_y,meanlaptime3,fastlaptime3,year,round,circuitId,driverref3,number,code,forename,surname,dob,nationality,pos3,points3,raceid1,grid1,position_1,positionorder1,points1,laps_x,fastestlap1,fastestlapspeed1,qposition1,lap_x,position_y_x,meanlaptime1,fastlaptime1,round_x,circuitId_x,driverref1,number_x,code_x,forename_x,surname_x,dob_x,nationality_x,pos1,points1,raceid2,grid2,position_2,positionorder2,points2,laps_y,fastestlap2,fastestlapspeed2,qposition2,lap_y,position_y_y,meanlaptime2,fastlaptime2,round_y,circuitId_y,driverref2,number_y,code_y,forename_y,surname_y,dob_y,nationality_y,pos2,points2
0,20,13,2,1.0,1,10.0,57,38.0,208.153,2.0,1.0,1.0,95911.75438596492,93600.0,2008,3,3,massa,19.0,MAS,Felipe,Massa,25/04/1981,Brazilian,2.0,97.0,18.0,4.0,,13.0,0.0,29.0,23.0,216.51,4.0,1.0,17.0,97659.86206896552,88175.0,1.0,1.0,massa,19.0,MAS,Felipe,Massa,25/04/1981,Brazilian,2.0,97.0,19.0,1.0,,19.0,0.0,30.0,15.0,208.048,1.0,1.0,1.0,97979.03333333334,95914.0,2.0,2.0,massa,19.0,MAS,Felipe,Massa,25/04/1981,Brazilian,2.0,97.0
1,20,8,4,2.0,2,8.0,57,35.0,207.911,4.0,1.0,3.0,95970.33333333331,93709.0,2008,3,3,raikkonen,7.0,RAI,Kimi,Rج_ikkج¦nen,17/10/1979,Finnish,3.0,75.0,18.0,15.0,8.0,8.0,1.0,53.0,20.0,217.18,16.0,1.0,8.0,99534.71698113206,87903.0,1.0,1.0,raikkonen,7.0,RAI,Kimi,Rج_ikkج¦nen,17/10/1979,Finnish,3.0,75.0,19.0,2.0,1.0,1.0,10.0,56.0,37.0,209.158,2.0,1.0,2.0,97831.33928571428,95405.0,2.0,2.0,raikkonen,7.0,RAI,Kimi,Rج_ikkج¦nen,17/10/1979,Finnish,3.0,75.0
2,20,9,1,3.0,3,6.0,57,55.0,207.765,1.0,1.0,2.0,95999.43859649124,93775.0,2008,3,3,kubica,,KUB,Robert,Kubica,07/12/1984,Polish,4.0,75.0,18.0,2.0,,9.0,0.0,47.0,15.0,215.1,2.0,1.0,2.0,99290.74468085106,88753.0,1.0,1.0,kubica,,KUB,Robert,Kubica,07/12/1984,Polish,4.0,75.0,19.0,4.0,2.0,2.0,8.0,56.0,39.0,208.033,6.0,1.0,3.0,98180.80357142855,95921.0,2.0,2.0,kubica,,KUB,Robert,Kubica,07/12/1984,Polish,4.0,75.0
3,20,2,6,4.0,4,5.0,57,48.0,208.231,6.0,1.0,6.0,96059.28070175438,93565.0,2008,3,3,heidfeld,,HEI,Nick,Heidfeld,10/05/1977,German,6.0,60.0,18.0,5.0,2.0,2.0,8.0,58.0,41.0,217.586,5.0,1.0,5.0,98208.51724137928,87739.0,1.0,1.0,heidfeld,,HEI,Nick,Heidfeld,10/05/1977,German,6.0,60.0,19.0,5.0,6.0,6.0,3.0,56.0,55.0,209.244,7.0,1.0,10.0,98721.21428571428,95366.0,2.0,2.0,heidfeld,,HEI,Nick,Heidfeld,10/05/1977,German,6.0,60.0
4,20,5,5,5.0,5,4.0,57,49.0,209.062,5.0,1.0,4.0,96381.73684210527,93193.0,2008,3,3,kovalainen,,KOV,Heikki,Kovalainen,19/10/1981,Finnish,7.0,53.0,18.0,3.0,5.0,5.0,4.0,58.0,43.0,218.385,3.0,1.0,3.0,98424.65517241381,87418.0,1.0,1.0,kovalainen,,KOV,Heikki,Kovalainen,19/10/1981,Finnish,7.0,53.0,19.0,8.0,3.0,3.0,6.0,56.0,19.0,208.031,3.0,1.0,7.0,98517.94642857145,95922.0,2.0,2.0,kovalainen,,KOV,Heikki,Kovalainen,19/10/1981,Finnish,7.0,53.0
5,20,15,7,6.0,6,3.0,57,45.0,206.819,7.0,1.0,5.0,96636.56140350876,94204.0,2008,3,3,trulli,,TRU,Jarno,Trulli,13/07/1974,Italian,9.0,31.0,18.0,6.0,,15.0,0.0,19.0,18.0,213.758,6.0,1.0,6.0,95126.7894736842,89310.0,1.0,1.0,trulli,,TRU,Jarno,Trulli,13/07/1974,Italian,9.0,31.0,19.0,3.0,4.0,4.0,5.0,56.0,53.0,207.715,5.0,1.0,6.0,98649.76785714287,96068.0,2.0,2.0,trulli,,TRU,Jarno,Trulli,13/07/1974,Italian,9.0,31.0
6,20,17,11,7.0,7,2.0,57,51.0,206.597,11.0,1.0,10.0,96709.52631578947,94305.0,2008,3,3,webber,,WEB,Mark,Webber,27/08/1976,Australian,11.0,21.0,18.0,14.0,,17.0,0.0,0.0,,,15.0,,,,,1.0,1.0,webber,,WEB,Mark,Webber,27/08/1976,Australian,11.0,21.0,19.0,6.0,7.0,7.0,2.0,56.0,53.0,206.366,8.0,1.0,4.0,99047.94642857145,96696.0,2.0,2.0,webber,,WEB,Mark,Webber,27/08/1976,Australian,11.0,21.0
7,20,3,8,8.0,8,1.0,57,57.0,207.109,8.0,1.0,7.0,96892.26315789473,94072.0,2008,3,3,rosberg,6.0,ROS,Nico,Rosberg,27/06/1985,German,13.0,17.0,18.0,7.0,3.0,3.0,6.0,58.0,41.0,216.719,7.0,1.0,4.0,98254.81034482758,88090.0,1.0,1.0,rosberg,6.0,ROS,Nico,Rosberg,27/06/1985,German,13.0,17.0,19.0,16.0,14.0,14.0,0.0,55.0,55.0,206.182,16.0,1.0,14.0,100385.94545454544,96782.0,2.0,2.0,rosberg,6.0,ROS,Nico,Rosberg,27/06/1985,German,13.0,17.0
8,20,10,13,9.0,9,0.0,57,56.0,205.503,13.0,1.0,12.0,97131.05263157896,94807.0,2008,3,3,glock,,GLO,Timo,Glock,18/03/1982,German,10.0,25.0,18.0,18.0,,10.0,0.0,43.0,23.0,213.166,9.0,1.0,13.0,96895.86046511628,89558.0,1.0,1.0,glock,,GLO,Timo,Glock,18/03/1982,German,10.0,25.0,19.0,10.0,,21.0,0.0,1.0,,,10.0,1.0,21.0,170790.0,170790.0,2.0,2.0,glock,,GLO,Timo,Glock,18/03/1982,German,10.0,25.0
9,20,4,10,10.0,10,0.0,57,35.0,204.668,10.0,1.0,8.0,97265.80701754386,95194.0,2008,3,3,alonso,14.0,ALO,Fernando,Alonso,29/07/1981,Spanish,5.0,61.0,18.0,11.0,4.0,4.0,5.0,58.0,58.0,215.464,12.0,1.0,9.0,98410.29310344828,88603.0,1.0,1.0,alonso,14.0,ALO,Fernando,Alonso,29/07/1981,Spanish,5.0,61.0,19.0,7.0,8.0,8.0,1.0,56.0,40.0,207.24,9.0,1.0,9.0,99082.07142857145,96288.0,2.0,2.0,alonso,14.0,ALO,Fernando,Alonso,29/07/1981,Spanish,5.0,61.0
