,grid3,positionorder3,points3,fastestlap3,fastestlapspeed3,qposition3,meanlaptime3,fastlaptime3,grid1,positionorder1,points1,fastestlap1,fastestlapspeed1,qposition1,meanlaptime1,fastlaptime1,grid2,positionorder2,points2,fastestlap2,fastestlapspeed2,qposition2,meanlaptime2,fastlaptime2,championship_points
0,2,1,10,38,208.153,2,95911.75438596492,93600,4,13,0,23,216.51,4,97659.86206896552,88175,1,19,0,15,208.048,1,97979.03333333334,95914,97
1,4,2,8,35,207.911,4,95970.33333333331,93709,15,8,1,20,217.18,16,99534.71698113206,87903,2,1,10,37,209.158,2,97831.33928571428,95405,75
2,1,3,6,55,207.765,1,95999.43859649124,93775,2,9,0,15,215.1,2,99290.74468085106,88753,4,2,8,39,208.033,6,98180.80357142855,95921,75
3,6,4,5,48,208.231,6,96059.28070175438,93565,5,2,8,41,217.586,5,98208.51724137928,87739,5,6,3,55,209.244,7,98721.21428571428,95366,60
4,5,5,4,49,209.062,5,96381.73684210527,93193,3,5,4,43,218.385,3,98424.65517241381,87418,8,3,6,19,208.031,3,98517.94642857145,95922,53
5,7,6,3,45,206.819,7,96636.56140350876,94204,6,15,0,18,213.758,6,95126.7894736842,89310,3,4,5,53,207.715,5,98649.76785714287,96068,31
6,11,7,2,51,206.597,11,96709.52631578947,94305,14,17,0,,,15,,,6,7,2,53,206.366,8,99047.94642857145,96696,21
7,8,8,1,57,207.109,8,96892.26315789473,94072,7,3,6,41,216.719,7,98254.81034482758,88090,16,14,0,55,206.182,16,100385.94545454544,96782,17
8,13,9,0,56,205.503,13,97131.05263157896,94807,18,10,0,23,213.166,9,96895.86046511628,89558,10,21,0,,,10,170790,170790,25
9,10,10,0,35,204.668,10,97265.80701754386,95194,11,4,5,58,215.464,12,98410.29310344828,88603,7,8,1,40,207.24,9,99082.07142857145,96288,61
10,12,11,0,40,205.399,12,97277.75438596492,94855,10,22,0,44,215.141,11,99018.43103448275,88736,14,13,0,55,206.372,14,100219.43636363637,96693,11
11,18,12,0,56,204.963,18,97650.82142857145,95057,16,21,0,,,17,,,17,12,0,52,205.8,17,100175.41818181818,96962,0
12,3,13,0,25,203.969,3,97906.85714285713,95520,1,1,10,39,218.3,1,98114.06896551725,87452,9,5,4,53,209.033,4,98662.55357142855,95462,98
13,16,14,0,30,204.155,16,97936.375,95433,13,6,3,50,212.974,14,100082.19298245614,89639,22,17,0,19,204.222,18,101798.72222222225,97711,9
14,15,15,0,33,204.369,15,98134.92857142855,95333,17,7,2,22,213.224,18,98864.38181818182,89534,18,22,0,,,19,,,
15,21,16,0,45,204.389,21,98814.96428571428,95324,21,19,0,,,22,,,21,15,0,55,203.265,22,101260.50909090912,98171,0
16,22,17,0,56,203.18,22,98965.60714285713,95891,19,11,0,24,210.038,20,99014,90892,19,16,0,53,202.578,20,101595.07407407409,98504,0
17,17,18,0,43,204.331,17,99136.89285714287,95351,8,14,0,21,213.3,8,95462.88,89502,12,9,0,55,207.417,12,99192.41071428572,96206,8
18,20,19,0,55,204.136,20,100028.12727272726,95442,22,16,0,8,207.461,19,105505.875,92021,20,20,0,3,198.891,21,103760.2,100330,0
19,14,20,0,31,204.808,14,100168.875,95129,20,12,0,20,208.907,21,99643.6,91384,13,11,0,52,205.812,13,99477.80357142855,96956,19
20,9,21,0,11,202.686,9,103582.05263157896,96125,12,18,0,,,13,,,11,10,0,56,208.481,11,99370.875,95715,3
21,19,22,0,,,19,,,9,20,0,,,10,,,15,18,0,37,205.995,15,99910.10256410256,96870,35
22,1,1,10,42,207.12,1,98377.45614035089,94067,22,6,3,28,219.323,16,89578.87931034483,87044,1,5,4,42,205.298,1,99493.48214285713,97199,94
23,2,2,8,18,206.674,2,98418.8596491228,94270,4,3,6,20,221.083,4,88747.6724137931,86351,4,2,8,22,206.355,4,99151.55357142855,96701,109
24,3,3,6,39,206.483,3,98567.61403508774,94357,1,1,10,41,223.978,1,88427.06896551725,85235,3,3,6,40,205.237,3,99165.51785714287,97228,110
25,5,4,5,38,206.236,5,98620.1052631579,94470,3,4,5,37,220.137,3,89095.39655172414,86722,5,4,5,55,204.838,5,99441.19642857145,97417,61
26,4,5,4,46,206.346,4,98630.54385964911,94420,2,2,8,20,221.178,2,88551.93103448275,86314,2,1,10,42,206.014,2,98838.03571428572,96861,109
27,6,6,3,46,205.477,6,99176.2105263158,94819,5,20,0,19,220.341,5,89006.88888888889,86642,7,18,0,53,201.82,7,101804.63636363637,98874,39
28,9,7,2,40,204.756,9,99805.01754385963,95153,8,9,0,45,216.857,8,90590.22807017544,88034,8,7,2,40,203.587,8,100090.39285714287,98016,8
29,7,8,1,51,204.655,7,99810.80701754386,95200,6,5,4,18,219.707,6,89573.08620689654,86892,12,6,3,44,203.872,12,100010.14285714287,97879,21
30,12,9,0,27,204.065,12,99946.0701754386,95475,13,10,0,44,217.951,13,90598.42105263156,87592,11,8,1,41,204.015,11,100124.01785714287,97810,30
31,10,10,0,51,203.893,10,99954.9298245614,95556,12,7,2,40,220.14,12,90039.24561403508,86721,6,19,0,18,204.237,6,100181,97704,20
32,11,11,0,27,202.966,11,100337.60714285713,95992,15,18,0,24,216.196,15,90911.66666666669,88303,19,9,0,19,203.903,20,100443.82142857145,97864,13
33,14,12,0,37,203.278,14,100499.71428571428,95845,9,8,1,42,217.444,9,90455.64912280704,87796,9,15,0,52,201.07,9,101652.27272727274,99243,5
34,15,13,0,50,203.284,15,100823.39285714287,95842,16,11,0,17,216.699,17,90614.19298245614,88098,22,11,0,32,202.451,19,101169.83636363636,98566,0
35,22,14,0,40,200.477,22,102233.09090909091,97184,21,22,0,9,210.022,22,94102,90899,20,21,0,5,196.608,21,109255.42857142855,101495,0
36,20,15,0,45,201.33,20,106096.41509433962,96772,20,17,0,40,215.26,21,92927.33928571428,88687,21,22,0,,,22,,,1
37,13,16,0,27,202.715,13,100685.29411764706,96111,11,16,0,41,215.742,11,91636.03571428572,88489,18,16,0,32,200.417,18,101766.2181818182,99566,0
38,8,17,0,37,203.575,8,101317.14634146342,95705,7,13,0,21,218.178,7,91217.70175438595,87501,10,10,0,55,202.504,10,100508.67857142855,98540,10
39,21,18,0,34,204.26,21,102847.13888888886,95384,18,19,0,44,217.668,19,90922.8125,87706,13,20,0,28,203.416,13,100948.63888888886,98098,14
40,17,19,0,23,202.193,17,102081.58823529413,96359,10,12,0,20,215.746,10,90693.08771929824,88487,14,13,0,37,202.595,14,101340.65454545453,98496,4
41,18,20,0,23,203.537,18,110132.38461538461,95723,19,14,0,44,216.247,20,91339.71929824562,88282,16,17,0,21,202.695,16,101786.58181818182,98447,3
42,16,21,0,,,16,,,14,15,0,42,215.991,14,91364.8947368421,88387,15,12,0,54,202.262,15,101182.94545454544,98658,6
